dmim_id,plate_id,annotation,adduct,smi,met_n,mz,ccs_avg,ccs_rsd,ccs_r1,ccs_r2,ccs_r3
"DMIM00001","p1A03","MAFENIDE","[M+H]+","C1=CC(=CC=C1CN)S(=O)(=O)N",0,187.0541,135.33,0.03,135.35,135.28,135.36
"DMIM00002","p1A03","MAFENIDE","[M+K]+","C1=CC(=CC=C1CN)S(=O)(=O)N",0,225.0100,141.65,0.31,142.09,141.80,141.06
"DMIM00003","p1A03","MAFENIDE","[M+H-H2O]+","C1=CC(=CC=C1CN)S(=O)(=O)N",0,169.0435,128.04,0.76,128.92,128.50,126.69
"DMIM00004","p1A04","NEFOPAM","[M+H]+","CN1CCOC(C2=CC=CC=C2C1)C3=CC=CC=C3",0,254.1545,156.23,0.10,156.03,156.27,156.40
"DMIM00005","p1A04","NEFOPAM","[M+Na]+","CN1CCOC(C2=CC=CC=C2C1)C3=CC=CC=C3",0,276.1365,161.49,0.38,160.71,162.22,161.53
"DMIM00006","p1A04","NEFOPAM","[M+K]+","CN1CCOC(C2=CC=CC=C2C1)C3=CC=CC=C3",0,292.1104,160.85,0.25,160.29,161.16,161.11
"DMIM00007","p1A04","NEFOPAM","[M+H-H2O]+","CN1CCOC(C2=CC=CC=C2C1)C3=CC=CC=C3",0,236.1439,151.99,0.30,151.41,152.05,152.50
"DMIM00012","p1A05","MAPROTILINE","[M+H]+","CNCCCC12CCC(C3=CC=CC=C31)C4=CC=CC=C24",0,278.1908,162.33,0.10,162.10,162.42,162.47
"DMIM00013","p1A05","MAPROTILINE","[M+Na]+","CNCCCC12CCC(C3=CC=CC=C31)C4=CC=CC=C24",0,300.1728,169.85,1.97,165.50,170.42,173.62
"DMIM00014","p1A05","MAPROTILINE","[M+K]+","CNCCCC12CCC(C3=CC=CC=C31)C4=CC=CC=C24",0,316.1467,169.71,1.47,166.36,170.43,172.32
"DMIM00015","p1A05","MAPROTILINE","[M+H-H2O]+","CNCCCC12CCC(C3=CC=CC=C31)C4=CC=CC=C24",0,260.1803,171.58,0.26,171.00,171.67,172.08
"DMIM00022","p1A06","PIRENZEPINE","[M+H]+","CN1CCN(CC1)CC(=O)N2C3=CC=CC=C3C(=O)NC4=C2N=CC=C4",0,352.1773,180.28,0.05,180.17,180.30,180.37
